TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,IsFraud,Merchant
TID0001,AID41,4767.73,2023-01-01,Transfer,California,0,Amazon
TID0002,AID8,4612.56,2023-01-02,POS,New York,0,Amazon
TID0003,AID2,4592.88,2023-01-03,Online,Illinois,0,Costco
TID0004,AID48,2996.73,2023-01-04,POS,New York,0,Amazon
TID0005,AID18,2445.59,2023-01-05,Transfer,New York,0,Costco
TID0006,AID16,563.78,2023-01-06,Transfer,California,0,Amazon
TID0007,AID15,1818.09,2023-01-07,Online,Illinois,0,Walmart
TID0008,AID9,4926.68,2023-01-08,ATM,Florida,0,Amazon
TID0009,AID48,4034.84,2023-01-09,ATM,California,0,eBay
TID0010,AID7,1201.06,2023-01-10,POS,Texas,0,Walmart
TID0011,AID44,1208.15,2023-01-11,POS,New York,0,Target
TID0012,AID48,2838.95,2023-01-12,ATM,Illinois,0,Walmart
TID0013,AID35,398.39,2023-01-13,Online,Texas,1,Costco
TID0014,AID6,3660.88,2023-01-14,POS,California,0,eBay
TID0015,AID38,4081.04,2023-01-15,Online,California,0,Walmart
TID0016,AID28,4890.03,2023-01-16,POS,Florida,1,Target
TID0017,AID3,2665.87,2023-01-17,Transfer,Illinois,0,Walmart
TID0018,AID2,633.17,2023-01-18,Online,Florida,0,Amazon
TID0019,AID6,3300.46,2023-01-19,Transfer,Florida,0,eBay
TID0020,AID14,4734.51,2023-01-20,Transfer,New York,0,eBay
TID0021,AID15,829.81,2023-01-21,POS,California,0,eBay
TID0022,AID33,2640.73,2023-01-22,ATM,Texas,0,Walmart
TID0023,AID39,3034.94,2023-01-23,Online,Illinois,0,eBay
TID0024,AID2,4821.99,2023-01-24,Online,Texas,0,eBay
TID0025,AID36,4644.92,2023-01-25,POS,Illinois,0,Target
TID0026,AID13,3777.55,2023-01-26,Transfer,California,0,Amazon
TID0027,AID46,3450.89,2023-01-27,Online,Illinois,0,Costco
TID0028,AID42,3566.18,2023-01-28,ATM,New York,0,Walmart
TID0029,AID45,1997.97,2023-01-29,ATM,Texas,0,Costco
TID0030,AID35,3360.08,2023-01-30,Transfer,Illinois,0,Costco
TID0031,AID27,1870.24,2023-01-31,Online,California,0,Walmart
TID0032,AID15,4498.57,2023-02-01,POS,Florida,0,eBay
TID0033,AID29,2260.17,2023-02-02,Transfer,California,0,Target
TID0034,AID38,1243.29,2023-02-03,Online,Florida,0,Amazon
TID0035,AID18,324.81,2023-02-04,ATM,Illinois,0,Walmart
TID0036,AID1,110.07,2023-02-05,Transfer,Florida,0,Walmart
TID0037,AID49,2771.84,2023-02-06,POS,Texas,0,Amazon
TID0038,AID11,2944.26,2023-02-07,ATM,New York,0,Walmart
TID0039,AID45,40.92,2023-02-08,Online,Texas,0,Costco
TID0040,AID28,3540.67,2023-02-09,Transfer,Florida,0,Walmart
TID0041,AID22,299.07,2023-02-10,Online,New York,0,Walmart
TID0042,AID18,341.66,2023-02-11,Transfer,Florida,0,Costco
TID0043,AID10,161.91,2023-02-12,POS,New York,0,Walmart
TID0044,AID14,1655.49,2023-02-13,Transfer,Texas,0,Costco
TID0045,AID49,2573.21,2023-02-14,POS,Texas,0,Target
TID0046,AID22,1395.99,2023-02-15,POS,Texas,0,Costco
TID0047,AID7,2429.65,2023-02-16,Online,California,0,eBay
TID0048,AID6,2698.47,2023-02-17,ATM,Illinois,0,Walmart
TID0049,AID25,3618.15,2023-02-18,Transfer,Texas,0,Costco
TID0050,AID7,4412.5,2023-02-19,ATM,New York,0,Costco
TID0051,AID23,2883.18,2023-02-20,Transfer,New York,0,Costco
TID0052,AID23,1218.77,2023-02-21,ATM,Texas,0,Target
TID0053,AID39,2367.5,2023-02-22,POS,Florida,0,Costco
TID0054,AID17,2038.26,2023-02-23,Online,Florida,0,Costco
TID0055,AID3,476.16,2023-02-24,Transfer,Illinois,0,Amazon
TID0056,AID47,3296.62,2023-02-25,Transfer,Florida,0,Amazon
TID0057,AID30,1774.72,2023-02-26,ATM,Texas,0,Amazon
TID0058,AID35,2058.46,2023-02-27,ATM,Illinois,1,eBay
TID0059,AID8,4319.86,2023-02-28,POS,Texas,0,Amazon
TID0060,AID25,275.59,2023-03-01,Transfer,California,0,Walmart
